,toffset,REMOVEQ,ALL,NOFOURFOUR
0,0.001,-1416702.7986046106,-1416698.7111293382,-1416703.82277995
1,0.00133,-1416705.224235137,-1416701.1092331198,-1416705.8414862852
2,0.00166,-1416708.112568028,-1416703.803444373,-1416709.079084689
3,0.002,-1416705.9231412632,-1416703.4685791377,-1416707.300675286
4,0.00233,-1416708.4449907278,-1416707.2993831737,-1416709.948912792
5,0.00266,-1416710.493640932,-1416708.717044709,-1416711.9542201972
6,0.003,-1416710.574473237,-1416708.9854006718,-1416711.467861383
